date,Climbing Chalk
2024-04-14,65
2024-04-21,62
2024-04-28,65
2024-05-05,59
2024-05-12,55
2024-05-19,57
2024-05-26,53
2024-06-02,57
2024-06-09,62
2024-06-16,67
2024-06-23,53
2024-06-30,48
2024-07-07,58
2024-07-14,59
2024-07-21,51
2024-07-28,58
2024-08-04,82
2024-08-11,77
2024-08-18,64
2024-08-25,65
2024-09-01,72
2024-09-08,61
2024-09-15,63
2024-09-22,58
2024-09-29,59
2024-10-06,59
2024-10-13,57
2024-10-20,56
2024-10-27,62
2024-11-03,59
2024-11-10,63
2024-11-17,75
2024-11-24,86
2024-12-01,90
2024-12-08,94
2024-12-15,100
2024-12-22,61
2024-12-29,54
2025-01-05,62
2025-01-12,59
2025-01-19,59
2025-01-26,60
2025-02-02,59
2025-02-09,62
2025-02-16,60
2025-02-23,60
2025-03-02,54
2025-03-09,57
2025-03-16,63
2025-03-23,55
2025-03-30,53
2025-04-06,54
2025-04-13,58
2025-04-20,72
