date,Chalk Bag,Climbing Charm,Climbing Chalk,Climbing Tape,Climbing Shoe Deodoriser
2024-04-14,55,0,34,11,0
2024-04-21,61,0,31,10,0
2024-04-28,54,0,33,6,0
2024-05-05,57,0,31,8,0
2024-05-12,56,0,27,11,0
2024-05-19,55,4,29,10,0
2024-05-26,57,0,29,12,0
2024-06-02,53,0,29,7,0
2024-06-09,62,0,32,8,0
2024-06-16,58,0,34,10,0
2024-06-23,50,0,28,11,0
2024-06-30,52,0,25,11,0
2024-07-07,56,0,31,10,0
2024-07-14,57,0,30,12,0
2024-07-21,46,0,26,9,0
2024-07-28,59,0,30,9,0
2024-08-04,61,16,45,61,0
2024-08-11,63,0,40,12,0
2024-08-18,60,0,33,12,0
2024-08-25,65,0,34,12,0
2024-09-01,57,0,38,8,0
2024-09-08,51,0,31,14,0
2024-09-15,54,0,32,7,0
2024-09-22,49,0,31,10,0
2024-09-29,52,0,30,6,0
2024-10-06,51,0,30,10,4
2024-10-13,51,0,29,10,0
2024-10-20,49,0,29,9,0
2024-10-27,50,0,31,8,0
2024-11-03,52,0,32,9,0
2024-11-10,58,0,30,9,0
2024-11-17,73,0,38,9,0
2024-11-24,87,0,46,9,0
2024-12-01,88,0,45,10,0
2024-12-08,100,0,48,8,0
2024-12-15,83,0,51,10,0
2024-12-22,60,0,33,7,0
2024-12-29,65,4,29,8,0
2025-01-05,59,3,31,10,0
2025-01-12,54,0,31,9,0
2025-01-19,54,0,31,13,0
2025-01-26,60,0,30,6,0
2025-02-02,59,0,30,11,0
2025-02-09,60,0,31,10,0
2025-02-16,55,0,31,11,0
2025-02-23,57,0,33,11,0
2025-03-02,54,0,27,11,0
2025-03-09,51,0,30,10,0
2025-03-16,62,0,32,11,0
2025-03-23,56,0,28,13,0
2025-03-30,55,0,28,13,0
2025-04-06,51,1,28,10,0
2025-04-13,61,1,29,11,0
